,uuid,segmentid,partitionDate,device,timestamp,filedate,filetimeutc,updateTimeMs,sequenceNo,vin,tripId,localTimeMs,latitude,longitude,elevation,heading,gpsspeed,fixtypehvgps,gpssemimajaxis,gpssemiminaxis,gpsorientsemimaj,speed,yawrate,longaccel,transstate,gpsUncertaintyArea,speedMph,gpsspeedMph,elevationFt,gpssemimajaxisFt,gpssemiminaxisFt,brakestatus,throttlepospct,steerangle,turnsignal,headlamp,wiper,stabilitycontrolstatus,absstatus,traccontrolstatus,closestintersectid,gpsUncertainFlag,timestamp_hr,updateTimeMs_hr
100,1640995225040186110014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995225040,20220101,234454,1678858665000,1861,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86425040,27.974282453201305,-82.27806291015318,-5.341,268.79688,10.282,2.0,0.83,0.47,147.0,10.282,-1.2388561,1.2237601,2.0,1.225535294165378,23.00017893378,23.00017893378,-17.5229659059,2.723097117,1.541994753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
101,1640995225055383610071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995225055,20220101,232855,1678858665000,3836,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86425055,27.92127958673966,-82.2857009608464,-15.018,359.32303,18.473,2.0,0.92,0.64,165.0,18.473,-0.46086213,-0.10952811,2.0,1.8497697544336704,41.32292408517,41.32292408517,-49.271653618200006,3.018372708,2.099737536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
102,1640995225540186210014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995225540,20220101,234454,1678858665000,1862,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86425540,27.974282060228944,-82.27811734193294,-5.229,269.47232,10.942,2.0,0.85,0.47,147.0,10.942,0.07593458,1.2311293,2.0,1.2550662651091222,24.476556885180003,24.476556885180003,-17.1555118371,2.788713915,1.541994753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
103,1640995225555383710071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995225555,20220101,232855,1678858665000,3837,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86425555,27.921362116247423,-82.2857019296867,-15.092,0.05643,18.391,2.0,0.95,0.66,167.0,18.391,0.41441917,-0.12726475,2.0,1.9697785938008003,41.13949530939,41.13949530939,-49.514435770800006,3.116797905,2.1653543340000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
104,1640995226040186310014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995226040,20220101,234454,1678858665000,1863,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86426040,27.97428115967157,-82.27817521211749,-5.036,268.83777,11.529,2.0,0.87,0.48,147.0,11.529,-0.08569765,1.1800852,2.0,1.3119290921390976,25.78963848741,25.78963848741,-16.5223097364,2.854330713,1.574803152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
105,1640995226055383810071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995226055,20220101,232855,1678858665000,3838,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86426055,27.92144460954692,-82.28570256009934,-15.071,359.8866,18.205,2.0,0.97,0.67,170.0,18.205,0.7512314,-0.26616716,2.0,2.0417210655680065,40.72342515945,40.72342515945,-49.445538132900005,3.182414703,2.198162733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
106,1640995226540186410014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995226540,20220101,234454,1678858665000,1864,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86426540,27.97428090010489,-82.27823592426729,-4.911,269.09314,12.07,2.0,0.89,0.49,149.0,12.07,-0.2277417,1.0211177,2.0,1.3700485562305087,26.9998210203,26.9998210203,-16.112204748899998,2.919947511,1.607611551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
107,1640995226555383910071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995226555,20220101,232855,1678858665000,3839,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86426555,27.92152670686132,-82.28570307218263,-15.115,359.8191,18.234,2.0,0.99,0.68,172.0,18.234,0.18091859,-0.11563462,2.0,2.1149201743966493,40.78829631186,40.78829631186,-49.5898950885,3.2480315010000003,2.230971132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
108,1640995227040186510014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995227040,20220101,234454,1678858665000,1865,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86427040,27.97427974292389,-82.27829923689724,-4.708,269.36325,12.582,2.0,0.92,0.52,150.0,12.582,0.060309503,0.9453992,2.0,1.5029379254773572,28.145132400780003,28.145132400780003,-15.4461942492,3.018372708,1.706036748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
109,1640995227055384010071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995227055,20220101,232855,1678858665000,3840,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86427055,27.92160959765184,-82.28570331316456,-14.997,359.58997,18.174,2.0,1.0,0.68,173.0,18.174,0.05065217,-0.11442575,2.0,2.13628300444106,40.65408013446,40.65408013446,-49.202755980300005,3.2808399,2.230971132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
110,1640995227540186610014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995227540,20220101,234454,1678858665000,1866,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86427540,27.974277890837453,-82.27836459093172,-4.435,268.4023,12.969,2.0,0.95,0.53,151.0,12.969,-0.60434085,0.84840244,2.0,1.5817919010824608,29.01082674501,29.01082674501,-14.5505249565,3.116797905,1.738845147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
111,1640995227555384110071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995227555,20220101,232855,1678858665000,3841,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86427555,27.921694710311545,-82.28570355665275,-14.631,359.90588,18.6,2.0,1.0,0.68,173.0,18.6,0.040427297,0.26926926,2.0,2.13628300444106,41.607014994,41.607014994,-48.001968576900005,3.2808399,2.230971132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
112,1640995228040186710014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995228040,20220101,234454,1678858665000,1867,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86428040,27.97427686019793,-82.27843171227664,-4.3129997,268.8411,13.242,2.0,0.98,0.54,152.0,13.242,0.0015625756,0.6111787,2.0,1.6625308322797188,29.621510352180003,29.621510352180003,-14.15026150444803,3.215223102,1.7716535460000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
113,1640995228055384210071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995228055,20220101,232855,1678858665000,3842,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86428055,27.921776834640674,-82.28570274414926,-14.597,0.53352,18.171,2.0,1.1,0.7,172.0,18.171,1.1931504,-0.7889733,2.0,2.419026343264141,40.64736932559,40.64736932559,-47.8904200203,3.60892389,2.29658793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
114,1640995228540186810014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995228540,20220101,234454,1678858665000,1868,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86428540,27.97427545747821,-82.27850018043604,-4.246,268.19095,13.615,2.0,1.0,0.55,154.0,13.615,-0.59511054,0.6783832,2.0,1.7278759594743864,30.45588758835,30.45588758835,-13.930446215400002,3.2808399,1.804461945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
115,1640995228555384310071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995228555,20220101,232855,1678858665000,3843,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86428555,27.921858336291848,-82.28570203631567,-14.786,0.57717,18.134,2.0,1.1,0.7,172.0,18.134,0.15757497,-0.2425599,2.0,2.419026343264141,40.56460268286,40.56460268286,-48.5104987614,3.60892389,2.29658793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
116,1640995229040186910014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995229040,20220101,234454,1678858665000,1869,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86429040,27.974272762984967,-82.2785705498925,-4.031,267.59103,14.005,2.0,1.0,0.57,155.0,14.005,-1.2581577,0.7032726,2.0,1.790707812546182,31.328292741450003,31.328292741450003,-13.2250656369,3.2808399,1.870078743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
117,1640995229055384410071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995229055,20220101,232855,1678858665000,3844,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86429055,27.92194222357888,-82.285701695971,-14.529,0.24465,18.564,2.0,1.2,0.72,173.0,18.564,0.021599296,0.42570448,2.0,2.714336052701581,41.52648528756,41.52648528756,-47.6673229071,3.93700788,2.362204728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
118,1640995229540187010014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995229540,20220101,234454,1678858665000,1870,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86429540,27.97426995964943,-82.27864134879201,-3.917,267.56982,13.868,2.0,1.1,0.58,155.0,13.868,-0.99994165,-0.012832842,2.0,2.004336112990288,31.021832469720003,31.021832469720003,-12.8510498883,3.60892389,1.902887142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
119,1640995229555384510071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995229555,20220101,232855,1678858665000,3845,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86429555,27.922026583839248,-82.28569999808329,-14.214,1.90072,18.496,2.0,1.1,0.74,174.0,18.496,1.859874,-0.02686879,2.0,2.557256420022092,41.37437361984,41.37437361984,-46.63385833860001,3.60892389,2.427821526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
120,1640995230040187110014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995230040,20220101,234454,1678858665000,1871,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86430040,27.974269152060504,-82.27871476799285,-3.84,270.05023,14.453,2.0,1.1,0.59,155.0,14.453,3.392791,0.64890397,2.0,2.038893632179776,32.33044019937,32.33044019937,-12.598425216,3.60892389,1.935695541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
121,1640995230055384610071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995230055,20220101,232855,1678858665000,3846,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86430055,27.922110332997715,-82.28569905192441,-14.104,0.49024,18.588,2.0,1.2,0.78,174.0,18.587997,-0.5482765,0.024568675,2.0,2.940530723760046,41.580165047711134,41.58017175852,-46.2729659496,3.93700788,2.559055122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
122,1640995230540187210014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995230540,20220101,234454,1678858665000,1872,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86430540,27.97426835391408,-82.27878854009873,-3.664,269.43253,14.52,2.0,1.2,0.62,158.0,14.52,1.1616527,0.21845849,2.0,2.337344934270806,32.4803149308,32.4803149308,-12.020997393600002,3.93700788,2.034120738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
123,1640995230555384710071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995230555,20220101,232855,1678858665000,3847,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86430555,27.922193629612387,-82.28569796785386,-14.073,0.40147,18.308,2.0,1.2,0.81,172.0,18.307999,-0.52785194,-0.5065518,2.0,3.053628059289279,40.953827360383706,40.95382959732,-46.1712599127,3.93700788,2.6574803190000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
124,1640995231040187310014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995231040,20220101,234454,1678858665000,1873,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86431040,27.974266557868145,-82.27886188055878,-3.633,268.19342,14.664,2.0,1.3,0.65,161.0,14.664,-1.3487886,0.3156211,2.0,2.6546457922833757,32.80243375656,32.80243375656,-11.9192913567,4.26509187,2.132545935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
125,1640995231055384810071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995231055,20220101,232855,1678858665000,3848,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86431055,27.922272836230484,-82.28569683661398,-13.947,0.57556,17.354,2.0,1.2,0.85,171.0,17.354,0.29046354,-1.6568302,2.0,3.204424506661589,38.81979237666,38.81979237666,-45.7578740853,3.93700788,2.788713915,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
126,1640995231540187410014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995231540,20220101,234454,1678858665000,1874,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86431540,27.974263931675573,-82.27893610543384,-3.601,266.7543,14.469,2.0,1.4,0.67,162.0,14.469,-2.7856007,-0.088664785,2.0,2.946813909067226,32.36623118001,32.36623118001,-11.8143044799,4.59317586,2.198162733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
127,1640995231555384910071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995231555,20220101,232855,1678858665000,3849,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86431555,27.92234984210268,-82.28569530853659,-13.934,0.73192,16.643,2.0,1.2,0.86,170.0,16.643,0.23437162,-1.4705131,2.0,3.242123618504666,37.22933067447,37.22933067447,-45.7152231666,3.93700788,2.821522314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
128,1640995232040187510014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995232040,20220101,234454,1678858665000,1875,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86432040,27.9742621951652,-82.2790114922809,-3.4789999,268.42972,14.854,2.0,1.4,0.7,160.0,14.854,0.18241031,0.32138592,2.0,3.078760800517997,33.22745165166,33.22745165166,-11.41404168401601,4.59317586,2.29658793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
129,1640995232055385010071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995232055,20220101,232855,1678858665000,3850,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86432055,27.922423342423954,-82.28569450699152,-13.778,0.74053,15.825,2.0,1.1,0.86,171.0,15.825001,-0.05088089,-1.5885562,2.0,2.971946650295944,35.39951902618629,35.39951678925,-45.2034121422,3.60892389,2.821522314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
130,1640995232540187610014,6f813aebcbec975f467a1097ea94b802,2022-01-01,10014,1640995232540,20220101,234454,1678858665000,1876,7b9d31aa17b849b238ab79cef0733041,1001420220101234454,86432540,27.97425786337469,-82.27908591638165,-3.355,266.95663,14.579,2.0,1.5,0.73,158.0,14.579,-1.4801099,-0.36912158,2.0,3.440043955680824,32.61229417191,32.61229417191,-11.0072178645,4.92125985,2.395013127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
131,1640995232555385110071,8ee8b375371d2fd0a4605848e4636989,2022-01-01,10071,1640995232555,20220101,232855,1678858665000,3851,4910fcdaedc2be5c5f05533b7a9cb8c2,1007120220101232855,86432555,27.922492822168618,-82.28569380250512,-13.705,0.20827,15.109,2.0,1.1,0.86,172.0,15.109001,-0.4560268,-1.7364306,2.0,2.971946650295944,33.79787264254629,33.79787040561,-44.9639108295,3.60892389,2.821522314,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,2022-01-01 00:00:25.600,1970-01-20 10:20:58.665
